Tiempo [s]	Amplitud
0.000000	0.000000
0.000021	0.000000
0.000042	0.000000
0.000063	0.000000
0.000083	0.000000
0.000104	0.000000
0.000125	0.000000
0.000146	0.000000
0.000167	0.000000
0.000188	0.000000
0.000208	0.000000
0.000229	0.000000
0.000250	0.000000
0.000271	0.000000
0.000292	0.000000
0.000313	0.000000
0.000333	0.000000
0.000354	0.000000
0.000375	0.000000
0.000396	0.000000
0.000417	0.000000
0.000438	0.000000
0.000458	0.000000
0.000479	0.000000
0.000500	0.000000
0.000521	0.000000
0.000542	0.000000
0.000563	0.000000
0.000583	0.000000
0.000604	0.000000
0.000625	0.000000
0.000646	0.000000
0.000667	0.000000
0.000688	0.000000
0.000708	0.000000
0.000729	0.000000
0.000750	0.000000
0.000771	0.000000
0.000792	0.000000
0.000813	0.000000
0.000833	0.000000
0.000854	0.000000
0.000875	0.000000
0.000896	0.000000
0.000917	0.000000
0.000938	0.000000
0.000958	0.000000
0.000979	0.000000
0.001000	0.000000
0.001021	0.000000
0.001042	0.000000
0.001063	0.000000
0.001083	0.000000
0.001104	0.000000
0.001125	0.000000
0.001146	0.000000
0.001167	0.000000
0.001188	0.000000
0.001208	0.000000
0.001229	0.000000
0.001250	0.000000
0.001271	0.000000
0.001292	0.000000
0.001313	0.000000
0.001333	0.000000
0.001354	0.000000
0.001375	0.000000
0.001396	0.000000
0.001417	0.000000
0.001438	0.000000
0.001458	0.000000
0.001479	0.000000
0.001500	0.000000
0.001521	0.000000
0.001542	0.000000
0.001563	0.000000
0.001583	0.000000
0.001604	0.000000
0.001625	0.000000
0.001646	0.000000
0.001667	0.000000
0.001688	0.000000
0.001708	0.000000
0.001729	0.000000
0.001750	0.000000
0.001771	0.000000
0.001792	0.000000
0.001813	0.000000
0.001833	0.000000
0.001854	0.000000
0.001875	0.000000
0.001896	0.000000
0.001917	0.000000
0.001938	0.000000
0.001958	0.000000
0.001979	0.000000
0.002000	0.000000
0.002021	0.000000
0.002042	0.000000
0.002063	0.000000
0.002083	0.000000
0.002104	0.000000
0.002125	0.000000
0.002146	0.000000
0.002167	0.000000
0.002188	0.000000
0.002208	0.000000
0.002229	0.000000
0.002250	0.000000
0.002271	0.000000
0.002292	0.000000
0.002313	0.000000
0.002333	0.000000
0.002354	0.000000
0.002375	0.000000
0.002396	0.000000
0.002417	0.000000
0.002438	0.000000
0.002458	0.000000
0.002479	0.000000
0.002500	0.000000
0.002521	0.000000
0.002542	0.000000
0.002563	0.000000
0.002583	0.000000
0.002604	0.000000
